2025-06-11 00:23:14 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:14 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:14 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:14 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:14 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:14 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:14 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:14 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:14 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:14 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:14 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:14 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:14 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:14 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:14 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:14 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:14 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:14 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:14 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:14 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:14 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:14 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:14 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:14 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:14 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:14 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:14 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:15 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:15 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:15 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:15 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:15 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:15 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:15 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:15 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:15 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:15 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:15 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:15 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:15 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:15 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:15 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:15 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:15 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:15 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:15 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:15 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:15 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:15 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:15 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:15 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:15 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:15 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:15 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:15 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:15 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:15 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:16 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:16 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:16 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
2025-06-11 00:23:16 | Gesture: No Hand | LED1: False | LED2: False | Brightness: 100 | Color: white
